,rmsd,tm_score,lddt,dockq_scores,identifier,tool,parts,plddt,max_pae,ptm
58,1.3208047151565552,0.9539862275123596,0.8983384328960139,0.914,t110,ColabFold,af,94.43156387665198,30.90625,0.91
59,1.3617910146713257,0.9518309831619263,0.8914889356589609,0.873,t110,ColabFold,comb,94.29918502202644,30.671875,0.91
60,22.711238861083984,0.3032342493534088,0.31963452455471464,0.019,t110,ColabFold,fullaf,33.00103524229075,31.5,0.17
61,1.2520557641983032,0.955125093460083,0.9014616035405488,0.905,t110,ColabFold,omega,92.789140969163,30.859375,0.9
62,0.253559410572052,0.9725039005279541,0.9635334147688561,0.976,t110,ColabFold,truth,95.85806167400881,31.359375,0.93
63,1.3790990114212036,0.9513729810714722,0.8851907578313563,0.89,t110,ColabFold,esm,94.37066079295154,30.8125,0.91
64,0.8629188537597656,0.9631867408752441,0.9263802904528384,0.936,t110,ColabFold,msaaf,95.75735682819383,31.296875,0.94
65,21.43988037109375,0.25038766860961914,0.2937652287597487,0.014,t123,ESM,,,,
66,12.742284774780273,0.41658294200897217,0.5401477099496447,0.052,t123,ColabFold,af,63.3815977443609,31.5625,0.42
67,22.6978759765625,0.21280764043331146,0.24911731483846367,0.01,t123,ColabFold,comb,51.71580827067669,31.6875,0.35
68,23.4679012298584,0.2435200810432434,0.25007178875488323,0.009,t123,ColabFold,fullaf,28.0162969924812,31.65625,0.21
69,22.69618034362793,0.20304958522319794,0.25277644710197894,0.009,t123,ColabFold,omega,53.46244360902256,31.65625,0.36
70,0.16940149664878845,0.8041643500328064,0.8986956999930796,0.87,t123,ColabFold,truth,84.99825187969925,31.71875,0.83
71,22.644569396972656,0.2567148506641388,0.2376159314351132,0.012,t123,ColabFold,esm,53.471146616541354,31.65625,0.37
72,5.348684787750244,0.6853320002555847,0.5721762876690637,0.349,t123,ColabFold,msaaf,59.89548872180451,31.6875,0.64
73,,,,,h129,ESM,,,,
74,31.991064071655273,0.49633774161338806,0.7332586161968093,0.002,h129,ColabFold,af,87.82333813987022,31.390625,0.61
75,35.41813278198242,0.21279501914978027,0.18319338814276495,0.006,h129,ColabFold,comb,42.86791636625811,31.71875,0.45
76,40.344181060791016,0.14690569043159485,0.19157102779903085,0.006,h129,ColabFold,fullaf,17.383150684931508,31.53125,0.19
77,35.464412689208984,0.17212507128715515,0.26236440016552215,0.006,h129,ColabFold,omega,46.36294160057678,31.703125,0.45
78,0.6164112091064453,0.906489372253418,0.9468891042562881,0.924,h129,ColabFold,truth,88.07722422494592,31.703125,0.88
79,38.04564666748047,0.18831147253513336,0.18782432569089885,0.003,h129,ColabFold,esm,44.25254506128334,31.71875,0.46
80,19.025537490844727,0.5752654671669006,0.6999345326317324,0.034,h129,ColabFold,msaaf,78.34485219899062,31.703125,0.65
